name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
Nyk Lewis,VCU,G,25,581,64,156,54,70,31,95,100,46,29,1,26,213,48,8.5,4.0,1.8,1.2,0.0,1.0,1.2,23.2,0.4103,0.7714,0.3263,0.5096
Daniel Egbuniwe,St. Bonaventure,F,22,520,61,144,30,39,33,85,73,28,22,10,26,185,56,8.4,3.3,1.3,1.0,0.5,1.2,1.5,23.6,0.4236,0.7692,0.3882,0.5382
Keonte Jones,Dayton,G,15,458,42,83,32,46,6,19,91,31,20,7,27,122,44,8.1,6.1,2.1,1.3,0.5,1.8,0.4,30.5,0.506,0.6957,0.3158,0.5422
Tyrone Marshall,George Washington,F,24,543,70,146,43,58,12,41,108,51,29,14,39,195,70,8.1,4.5,2.1,1.2,0.6,1.6,0.5,22.6,0.4795,0.7414,0.2927,0.5205
Jakub Necas,Duquesne,F,24,610,64,119,51,72,15,33,133,31,25,14,37,194,67,8.1,5.5,1.3,1.0,0.6,1.5,0.6,25.4,0.5378,0.7083,0.4545,0.6008
Jean Aranguren,George Washington,G,26,593,71,134,46,66,19,43,110,88,27,12,53,207,61,8.0,4.2,3.4,1.0,0.5,2.0,0.7,22.8,0.5299,0.697,0.4419,0.6007
Luke Hunger,George Washington,F,26,463,69,139,59,74,9,27,127,21,5,2,35,206,54,7.9,4.9,0.8,0.2,0.1,1.3,0.3,17.8,0.4964,0.7973,0.3333,0.5288
Joshua Ola-Joseph,Loyola Chicago,F,23,515,58,147,40,55,23,80,93,15,7,3,24,179,42,7.8,4.0,0.7,0.3,0.1,1.0,1.0,22.4,0.3946,0.7273,0.2875,0.4728
Brady Dunlap,Saint Louis,F,24,419,54,120,41,50,39,84,57,22,7,0,20,188,39,7.8,2.4,0.9,0.3,0.0,0.8,1.6,17.5,0.45,0.82,0.4643,0.6125
Mike Walz,Richmond,C,26,531,75,155,27,38,26,63,179,53,11,18,44,203,49,7.8,6.9,2.0,0.4,0.7,1.7,1.0,20.4,0.4839,0.7105,0.4127,0.5677
Keeyan Itejere,Rhode Island,F,24,690,72,105,39,60,0,0,132,15,19,35,38,183,82,7.6,5.5,0.6,0.8,1.5,1.6,0.0,28.8,0.6857,0.65,,0.6857
Alex Williams,Duquesne,F,23,350,52,122,46,55,25,71,68,17,11,3,17,175,37,7.6,3.0,0.7,0.5,0.1,0.7,1.1,15.2,0.4262,0.8364,0.3521,0.5287
David Dixon,Duquesne,F,25,538,73,120,39,53,2,11,122,30,27,36,41,187,76,7.5,4.9,1.2,1.1,1.4,1.6,0.1,21.5,0.6083,0.7358,0.1818,0.6167
Austin Williford,Saint Joseph's,G,25,587,66,157,29,39,27,79,109,36,33,6,27,188,51,7.5,4.4,1.4,1.3,0.2,1.1,1.1,23.5,0.4204,0.7436,0.3418,0.5064
Ashton Walker,La Salle,G,25,642,67,169,39,63,12,51,86,82,25,1,43,185,48,7.4,3.4,3.3,1.0,0.0,1.7,0.5,25.7,0.3964,0.619,0.2353,0.432
Jack Whitbourn,Fordham,C,7,161,22,57,7,8,1,8,58,4,4,3,7,52,12,7.4,8.3,0.6,0.6,0.4,1.0,0.1,23.0,0.386,0.875,0.125,0.3947
Michael Belle,VCU,F,26,559,76,136,24,46,14,27,123,28,14,23,21,190,52,7.3,4.7,1.1,0.5,0.9,0.8,0.5,21.5,0.5588,0.5217,0.5185,0.6103
Chuck Love III,Loyola Chicago,G,13,322,30,75,15,19,19,58,34,13,3,2,9,94,24,7.2,2.6,1.0,0.2,0.2,0.7,1.5,24.8,0.4,0.7895,0.3276,0.5267
Nick Coval,Davidson,G,23,472,54,107,38,43,20,50,37,36,10,1,26,166,39,7.2,1.6,1.6,0.4,0.0,1.1,0.9,20.5,0.5047,0.8837,0.4,0.5981
Barry Evans,VCU,F,26,667,80,178,11,22,16,54,131,56,28,15,30,187,43,7.2,5.0,2.2,1.1,0.6,1.2,0.6,25.7,0.4494,0.5,0.2963,0.4944
Akira Jacobs,Fordham,F,26,730,65,164,21,28,33,105,120,23,13,3,18,184,57,7.1,4.6,0.9,0.5,0.1,0.7,1.3,28.1,0.3963,0.75,0.3143,0.497
Bryce Heard,Dayton,G,24,476,52,123,48,63,19,55,55,20,12,3,21,171,41,7.1,2.3,0.8,0.5,0.1,0.9,0.8,19.8,0.4228,0.7619,0.3455,0.5
Abass Bodija,Fordham,F,21,388,54,103,31,39,5,15,109,19,10,12,21,144,32,6.9,5.2,0.9,0.5,0.6,1.0,0.2,18.5,0.5243,0.7949,0.3333,0.5485
Maximus Edwards,Duquesne,G,20,332,49,120,21,32,19,62,57,28,8,3,18,138,17,6.9,2.8,1.4,0.4,0.2,0.9,1.0,16.6,0.4083,0.6562,0.3065,0.4875
Bubu Benjamin,George Washington,G,22,517,52,130,23,32,21,78,72,26,25,10,19,148,56,6.7,3.3,1.2,1.1,0.5,0.9,1.0,23.5,0.4,0.7188,0.2692,0.4808
Roor Akhuar,Fordham,F,19,360,46,98,4,9,27,66,63,11,10,11,14,123,38,6.5,3.3,0.6,0.5,0.6,0.7,1.4,18.9,0.4694,0.4444,0.4091,0.6071
Anthony Finkley,Saint Joseph's,F,24,506,41,146,47,58,26,97,88,45,6,5,37,155,49,6.5,3.7,1.9,0.2,0.2,1.5,1.1,21.1,0.2808,0.8103,0.268,0.3699
Mouhamed Sow,Rhode Island,F,5,100,13,26,5,8,1,5,28,1,3,3,3,32,10,6.4,5.6,0.2,0.6,0.6,0.6,0.2,20.0,0.5,0.625,0.2,0.5192
Devin Brown,Davidson,G,24,530,51,130,32,48,20,66,73,39,17,4,23,154,28,6.4,3.0,1.6,0.7,0.2,1.0,0.8,22.1,0.3923,0.6667,0.303,0.4692
Justin Archer,La Salle,F,12,236,24,44,27,41,0,0,54,3,8,5,6,75,26,6.2,4.5,0.2,0.7,0.4,0.5,0.0,19.7,0.5455,0.6585,,0.5455
Jonathan Beagle,Richmond,F,23,349,49,90,44,70,0,2,109,36,12,4,25,142,50,6.2,4.7,1.6,0.5,0.2,1.1,0.0,15.2,0.5444,0.6286,0.0,0.5444
Kymany Houinsou,Loyola Chicago,G,20,509,39,75,37,57,5,12,84,60,11,6,43,120,48,6.0,4.2,3.0,0.6,0.3,2.2,0.2,25.4,0.52,0.6491,0.4167,0.5533
Tyrell Ward,VCU,G,21,274,40,84,30,46,15,45,47,9,10,4,23,125,16,6.0,2.2,0.4,0.5,0.2,1.1,0.7,13.0,0.4762,0.6522,0.3333,0.5655
Mikkel Tyne,Richmond,G,25,474,52,134,9,15,32,85,27,38,19,0,24,145,47,5.8,1.1,1.5,0.8,0.0,1.0,1.3,19.0,0.3881,0.6,0.3765,0.5075
Paul Otieno,Saint Louis,F,25,384,53,90,38,51,2,3,99,21,9,19,16,146,51,5.8,4.0,0.8,0.4,0.8,0.6,0.1,15.4,0.5889,0.7451,0.6667,0.6
Nicolus Anderson,Loyola Chicago,G,20,333,38,105,20,32,16,54,48,11,8,5,17,112,21,5.6,2.4,0.6,0.4,0.2,0.8,0.8,16.6,0.3619,0.625,0.2963,0.4381
Cameron Crawford,Duquesne,G,25,540,50,136,10,17,30,86,53,28,16,2,20,140,43,5.6,2.1,1.1,0.6,0.1,0.8,1.2,21.6,0.3676,0.5882,0.3488,0.4779
